Device: cuda
Train batches: 404 | Val batches: 45 | MixUp/CutMix: True
Model params: 11.26M
/content/emotion-recognition/emotion-recognition/CNN/cnn_resnet_se_mixup_ema/train.py:89: UserWarning: mods argument is not needed anymore, you can stop passing it
  with FlopCounterMode(model, display=False) as fc:
Forward FLOPs/sample: 2.494e+09 | Train (fwd+bwd) FLOPs/sample: 7.483e+09
Class weights: {'angry': 1.02, 'disgust': 9.417, 'fear': 1.005, 'happy': 0.569, 'neutral': 0.829, 'sad': 0.847, 'surprise': 1.291}
Epoch  46/60 | train loss 1.4282 acc 0.6514 | val loss 1.3983 acc 0.6707 | lr 1.6e-04 | 57s
Epoch  47/60 | train loss 1.4466 acc 0.6358 | val loss 1.3921 acc 0.6760 | lr 1.4e-04 | 57s  <- saved best (EMA)
Epoch  48/60 | train loss 1.4370 acc 0.6453 | val loss 1.3865 acc 0.6620 | lr 1.3e-04 | 57s
Epoch  49/60 | train loss 1.4364 acc 0.6475 | val loss 1.3855 acc 0.6774 | lr 1.1e-04 | 57s  <- saved best (EMA)
Epoch  50/60 | train loss 1.4511 acc 0.6354 | val loss 1.3893 acc 0.6634 | lr 9.5e-05 | 57s
Epoch  51/60 | train loss 1.4292 acc 0.6470 | val loss 1.3761 acc 0.6794 | lr 8.1e-05 | 57s  <- saved best (EMA)
Epoch  52/60 | train loss 1.4568 acc 0.6340 | val loss 1.3833 acc 0.6732 | lr 6.9e-05 | 57s
Epoch  53/60 | train loss 1.4023 acc 0.6588 | val loss 1.3837 acc 0.6801 | lr 5.7e-05 | 57s  <- saved best (EMA)
Epoch  54/60 | train loss 1.4189 acc 0.6531 | val loss 1.3921 acc 0.6794 | lr 4.8e-05 | 57s
Epoch  55/60 | train loss 1.4199 acc 0.6494 | val loss 1.3828 acc 0.6819 | lr 3.9e-05 | 57s  <- saved best (EMA)
Epoch  56/60 | train loss 1.4295 acc 0.6487 | val loss 1.3837 acc 0.6805 | lr 3.2e-05 | 56s
Epoch  57/60 | train loss 1.4153 acc 0.6552 | val loss 1.3808 acc 0.6805 | lr 2.7e-05 | 57s
Epoch  58/60 | train loss 1.4242 acc 0.6522 | val loss 1.3825 acc 0.6808 | lr 2.3e-05 | 57s
Epoch  59/60 | train loss 1.3869 acc 0.6674 | val loss 1.3784 acc 0.6857 | lr 2.1e-05 | 57s  <- saved best (EMA)
Epoch  60/60 | train loss 1.4039 acc 0.6597 | val loss 1.3777 acc 0.6871 | lr 2.0e-05 | 57s  <- saved best (EMA)

Best val accuracy (EMA): 0.6871
Best checkpoint: /content/emotion-recognition/emotion-recognition/CNN/cnn_resnet_se_mixup_ema/checkpoints/best.pt
Training history: /content/emotion-recognition/emotion-recognition/CNN/cnn_resnet_se_mixup_ema/results/history.json
Learning curve: /content/emotion-recognition/emotion-recognition/CNN/cnn_resnet_se_mixup_ema/results/learning_curve.png
Total training compute: 1.160e+16 FLOPs (1550340 samples seen)
